Fire_ID,Fire_Year,Fire_Start,BurnDay,sdd,tssm,avgBio,cc,age,tri,RBR_median,RBR_quant,RBR_cv,FIRE_FINAL,size_class,dc,pyroregion
SLK76_2011_1810,2011,2011-07-15,195,115,80,54.0609970092773,46.7321929931641,99.1831817626953,6.55298900604248,255.055724,565.494000240324,0.728003204,1382,2,303.228113235965,1
NIP55_2011_1811,2011,2011-07-21,201,108,93,82.779655456543,65.9534759521484,108.16561126709,6.62614297866821,124.2992852,248.571147038549,0.596128285,412,1,234.95006207738,1
RED50_2011_1813,2011,2011-07-16,196,113,83,55.189380645752,42.0744819641113,97.6961669921875,18.4096851348877,426.3665376,580.326676514955,0.425204337,2780,2,312.931619532315,1
RED52_2011_1814,2011,2011-07-06,186,114,72,44.9305534362793,46.0865440368652,92.9747772216797,10.4300117492676,273.783312,569.737729234586,0.657207191,1561,2,239.785292520377,1
RED72_2011_1816,2011,2011-07-18,198,113,85,38.0326271057129,48.8253402709961,55.7984504699707,11.3072996139526,285.3342753,518.940648191729,0.57263869,1729,2,328.265978345353,1
SLK82_2011_1824,2011,2011-07-15,195,117,78,88.5614471435547,62.7898559570312,106.401832580566,10.1304111480713,117.341935,269.258223512396,0.839269459,10000,2,252.848742278729,1
THU58_2011_1825,2011,2011-07-30,210,112,98,119.454368591309,78.7686614990234,102.997512817383,15.5300273895264,89.14655546,297.808880559654,1.045949817,230,1,303.232006899292,1
THU50_2011_1826,2011,2011-07-23,203,114,89,92.1394500732422,61.8628807067871,100.74161529541,22.8656826019287,100.8483556,229.615915983978,1.11220789,18348,3,295.068061342986,1
COC25_2011_1827,2011,2011-08-10,221,119,102,45.5755386352539,39.3491287231445,99.9307250976562,9.53075313568115,178.5076627,306.832650128681,0.594841242,1000,2,300.52241308102,0
THU80_2011_1830,2011,2011-09-04,246,118,128,104.663497924805,69.2104797363281,98.2773818969727,14.2482833862305,58.38017803,155.828059957705,1.055624008,1725,2,363.6312154041,1
FOR42_2011_1834,2011,2011-08-29,240,109,131,91.3668060302734,70.881965637207,77.1707534790039,39.9742050170898,50.64060472,92.6439915145702,0.603301942,141,1,304.248250792577,1
FOR17_2011_1836,2011,2011-07-21,201,108,93,92.8269653320312,63.698127746582,76.418342590332,17.3060913085938,211.0231759,436.60595104877,0.526436269,71,1,178.358735508125,1
RED7_2009_1725,2009,2009-06-18,168,118,50,61.5681953430176,54.9792938232422,91.2510604858398,11.6053943634033,330.9127613,533.465627687765,0.536394238,1575,2,125.714420594594,1
SLK25_2009_1726,2009,2009-06-26,176,123,53,79.4528961181641,63.3703575134277,102.148529052734,13.7357177734375,332.0200436,559.095054241057,0.654483378,2800,2,165.974515880845,1
SLK24_2009_1727,2009,2009-06-25,175,130,45,88.9290161132812,69.4905014038086,105.761054992676,15.5817852020264,271.7286548,523.821848572547,0.709831655,1940,2,163.75215024726,1
KEN28_2015_1959,2015,2015-05-24,143,80,63,54.2766952514648,47.637767791748,62.5227890014648,5.06640481948853,237.4264322,355.619702214294,0.392596453,187,1,73.1631688751827,1
RED10_2015_1960,2015,2015-05-28,147,102,45,82.277946472168,60.9737205505371,90.5129547119141,21.9132976531982,308.4944563,446.926967884712,0.348932058,650,2,72.5945913338402,1
